TheVoynichManuscript_chunk_113_1499105773483229_count_0_noise_-1_noise_type_White,2,12.72,13.8,ticket things,-1,True,0.7861,0.388,podcast_lecture,White,ticket,things,"[{'word_confidence': [['tickets', 0.26], ['since', 0.303]], 'confidence': 0.276, 'timestamps': [['tickets', 0.31, 0.85], ['since', 0.93, 1.26]], 'transcript': 'tickets since '}]",tickets,0.5677,since,0.4111
TerenceMckenna-TrueHallucinations16-16_chunk_35_1499105773483229_count_0_noise_-1_noise_type_White,2,4.74,6.34,phylogeny could,-1,True,0.9215,0.3486,podcast_lecture,White,phylogeny,could,"[{'word_confidence': [[""c'est"", 0.944], ['la', 0.616], ['killings', 0.203], ['could', 0.27]], 'confidence': 0.462, 'timestamps': [[""c'est"", 0.23, 0.5], ['la', 0.5, 0.75], ['killings', 0.75, 1.26], ['could', 1.63, 1.82]], 'transcript': ""c'est la killings could ""}]",c'est,0.94,la,0.9305,killings,0.6641
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_62_1499105773483229_count_0_noise_-1_noise_type_White,2,3.76,5.16,Aralia himself,-1,False,0.489,0.8888,podcast_lecture,White,Aralia,himself,"[{'word_confidence': [['Karelian', 0.908], ['himself', 0.871]], 'confidence': 0.892, 'timestamps': [['Karelian', 0.24, 0.96], ['himself', 1.04, 1.6]], 'transcript': 'Karelian himself '}]",Karelian,0.9963,himself,0.9831
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_62_1499105773483229_count_0_noise_0_noise_type_White,2,3.76,5.16,Aralia himself,0,False,0.489,0.8888,podcast_lecture,White,Aralia,himself,"[{'word_confidence': [['Karelian', 0.151], ['himself', 0.931]], 'confidence': 0.498, 'timestamps': [['Karelian', 0.24, 0.95], ['himself', 1.05, 1.62]], 'transcript': 'Karelian himself '}]",Karelian,0.9196,himself,0.9279
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_62_1499105773483229_count_0_noise_10_noise_type_White,2,3.76,5.16,Aralia himself,10,False,0.489,0.8888,podcast_lecture,White,Aralia,himself,"[{'word_confidence': [['Karelian', 0.084], ['himself', 0.997]], 'confidence': 0.505, 'timestamps': [['Karelian', 0.24, 0.93], ['himself', 1.03, 1.62]], 'transcript': 'Karelian himself '}]",Karelian,0.7256,himself,0.9162
History_4A_Fall_2007_UC_Berkeley_Lecture_28_Crisis_and_Recovery_AD_161-337_20480_chunk_62_1499105773483229_count_0_noise_20_noise_type_White,2,3.76,5.16,Aralia himself,20,False,0.489,0.8888,podcast_lecture,White,Aralia,himself,"[{'word_confidence': [['Karelian', 0.115], ['himself', 0.724]], 'confidence': 0.405, 'timestamps': [['Karelian', 0.24, 0.89], ['himself', 1.03, 1.62]], 'transcript': 'Karelian himself '}]",earlier,0.3662,himself,0.7786
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_-1_noise_type_White,2,19.41,20.24,three legions,-1,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.854], ['weekends', 0.081]], 'confidence': 0.329, 'timestamps': [['three', 0.21, 0.47], ['weekends', 0.47, 1.02]], 'transcript': 'three weekends '}]",three,0.9651,weekends,0.386
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_0_noise_type_White,2,19.41,20.24,three legions,0,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.608], ['weeks', 0.18], ['and', 0.488]], 'confidence': 0.403, 'timestamps': [['three', 0.26, 0.47], ['weeks', 0.47, 0.75], ['and', 0.75, 0.98]], 'transcript': 'three weeks and '}]",three,0.8084,weeks,0.3858
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_10_noise_type_White,2,19.41,20.24,three legions,10,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.299], ['weeks', 0.103], ['and', 0.282]], 'confidence': 0.212, 'timestamps': [['three', 0.25, 0.47], ['weeks', 0.47, 0.76], ['and', 0.76, 0.94]], 'transcript': 'three weeks and '}]",three,0.4316
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_5_noise_type_White,2,19.41,20.24,three legions,5,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.523], ['weeks', 0.162], ['and', 0.504]], 'confidence': 0.372, 'timestamps': [['three', 0.27, 0.47], ['weeks', 0.47, 0.75], ['and', 0.75, 0.97]], 'transcript': 'three weeks and '}]",three,0.6922,weeks,0.5122,and,0.5998
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_21_1499105773483229_count_0_noise_7_noise_type_White,2,19.41,20.24,three legions,7,True,0.9413,0.3361,podcast_lecture,White,three,legions,"[{'word_confidence': [['three', 0.428], ['weeks', 0.135], ['and', 0.372]], 'confidence': 0.29, 'timestamps': [['three', 0.27, 0.47], ['weeks', 0.47, 0.75], ['and', 0.75, 0.94]], 'transcript': 'three weeks and '}]",three,0.6061
