History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_14_1499080254532628_count_0_noise_11_noise_type_White,4,you can still your house for fifty,11,"{'start_time': 6.67, 'length': 3, 'confidence': 1.0, 'end_time': 6.82, 'word': 'you'}; {'start_time': 6.82, 'length': 3, 'confidence': 1.0, 'end_time': 6.97, 'word': 'can'}; {'start_time': 6.97, 'length': 5, 'confidence': 0.5798, 'end_time': 7.36, 'word': 'still'}; {'start_time': 7.47, 'length': 4, 'confidence': 0.3632, 'end_time': 7.64, 'word': 'your'}; {'start_time': 7.64, 'length': 5, 'confidence': 0.834, 'end_time': 8.12, 'word': 'house'}; {'start_time': 8.12, 'length': 3, 'confidence': 0.8867, 'end_time': 8.25, 'word': 'for'}; {'start_time': 8.25, 'length': 5, 'confidence': 0.9768, 'end_time': 8.58, 'word': 'fifty'}",podcast_lecture,White,"[{'timestamps': [['you', 0.28, 0.4], ['can', 0.4, 0.55], ['sell', 0.55, 0.93], ['their', 0.93, 1.22], ['house', 1.22, 1.65], ['for', 1.72, 1.83], ['fifty', 1.83, 2.12]], 'word_confidence': [['you', 0.981], ['can', 0.942], ['sell', 0.591], ['their', 0.042], ['house', 0.989], ['for', 0.693], ['fifty', 0.366]], 'confidence': 0.623, 'transcript': 'you can sell their house for fifty '}]",fifty,you,1.0,can,0.9889,sell,0.8877,our,0.3409,house,0.8396,for,0.8507,fifty,0.4681
History_4A_Fall_2007_UC_Berkeley_Lecture_22_Violence_and_Civil_War_The_Fall_of_the_Roman_Republic_20474_chunk_14_1499080254532628_count_1_noise_11_noise_type_White,4,house for fifty Bucks open what are,11,"{'start_time': 7.64, 'length': 5, 'confidence': 0.834, 'end_time': 8.12, 'word': 'house'}; {'start_time': 8.12, 'length': 3, 'confidence': 0.8867, 'end_time': 8.25, 'word': 'for'}; {'start_time': 8.25, 'length': 5, 'confidence': 0.9768, 'end_time': 8.58, 'word': 'fifty'}; {'start_time': 8.58, 'length': 5, 'confidence': 0.9762, 'end_time': 9.22, 'word': 'Bucks'}; {'start_time': 10.65, 'length': 4, 'confidence': 0.3303, 'end_time': 10.79, 'word': 'open'}; {'start_time': 10.79, 'length': 4, 'confidence': 0.9634, 'end_time': 11.0, 'word': 'what'}; {'start_time': 11.0, 'length': 3, 'confidence': 0.9634, 'end_time': 11.11, 'word': 'are'}",podcast_lecture,White,"[{'timestamps': [['a', 0.23, 0.29], ['house', 0.29, 0.69], ['for', 0.75, 0.86], ['fifty', 0.86, 1.2], ['plus', 1.2, 1.6]], 'word_confidence': [['a', 0.226], ['house', 0.443], ['for', 0.992], ['fifty', 0.97], ['plus', 0.234]], 'confidence': 0.552, 'transcript': 'a house for fifty plus '}, {'timestamps': [['from', 3.21, 3.4], ['what', 3.4, 3.6], ['I', 3.6, 3.7]], 'word_confidence': [['from', 0.147], ['what', 0.916], ['I', 0.399]], 'confidence': 0.512, 'transcript': 'from what I '}]",Bucks,house,0.5268,for,0.9459,fifty,0.9159,Bucks,0.4858,from,0.7299,what,0.8961,I,0.7931
TerenceMckenna-TrueHallucinations06-16_chunk_16_1499080254532628_count_0_noise_-1_noise_type_White,4,anticipated building an orchid could are ya,-1,"{'start_time': 16.27, 'length': 11, 'confidence': 0.9172, 'end_time': 17.16, 'word': 'anticipated'}; {'start_time': 17.23, 'length': 8, 'confidence': 0.8722, 'end_time': 17.73, 'word': 'building'}; {'start_time': 17.76, 'length': 2, 'confidence': 0.6089, 'end_time': 17.88, 'word': 'an'}; {'start_time': 17.88, 'length': 6, 'confidence': 0.4622, 'end_time': 18.21, 'word': 'orchid'}; {'start_time': 18.21, 'length': 5, 'confidence': 0.6393, 'end_time': 18.37, 'word': 'could'}; {'start_time': 19.01, 'length': 3, 'confidence': 0.5313, 'end_time': 19.18, 'word': 'are'}; {'start_time': 19.18, 'length': 2, 'confidence': 0.458, 'end_time': 19.42, 'word': 'ya'}",podcast_lecture,White,"[{'timestamps': [['dark', 0.22, 0.52], ['with', 0.52, 0.65], ['the', 0.65, 0.72], ['present', 0.72, 1.15], ['building', 1.15, 1.71], ['Nordic', 1.79, 2.19], ['could', 2.19, 2.35], ['burlap', 2.35, 2.92], ['part', 2.92, 3.22], ['yeah', 3.22, 3.4]], 'word_confidence': [['dark', 0.056], ['with', 0.853], ['the', 0.945], ['present', 0.323], ['building', 0.823], ['Nordic', 0.486], ['could', 0.491], ['burlap', 0.148], ['part', 0.181], ['yeah', 0.256]], 'confidence': 0.404, 'transcript': 'dark with the present building Nordic could burlap part yeah '}]",anticipated,dark,0.2446,with,0.8294,the,0.9193,building,0.7846,<eps>,0.3192,Nordic,0.3928,could,0.4608
FinneginsWake_chunk_129_1499080254532628_count_0_noise_7_noise_type_White,4,read this description of family leave it,7,"{'start_time': 0.23, 'length': 4, 'confidence': 0.9867, 'end_time': 0.53, 'word': 'read'}; {'start_time': 0.53, 'length': 4, 'confidence': 0.9867, 'end_time': 0.78, 'word': 'this'}; {'start_time': 0.78, 'length': 11, 'confidence': 0.9904, 'end_time': 1.68, 'word': 'description'}; {'start_time': 1.74, 'length': 2, 'confidence': 1.0, 'end_time': 1.95, 'word': 'of'}; {'start_time': 1.95, 'length': 6, 'confidence': 0.9707, 'end_time': 2.2, 'word': 'family'}; {'start_time': 2.2, 'length': 5, 'confidence': 0.4962, 'end_time': 2.42, 'word': 'leave'}; {'start_time': 2.42, 'length': 2, 'confidence': 0.6397, 'end_time': 2.55, 'word': 'it'}",podcast_lecture,White,"[{'timestamps': [['read', 0.25, 0.55], ['this', 0.55, 0.8], ['description', 0.8, 1.7], ['of', 1.76, 1.97], ['family', 1.97, 2.37], ['here', 2.37, 2.56]], 'word_confidence': [['read', 0.254], ['this', 0.993], ['description', 1.0], ['of', 1.0], ['family', 0.775], ['here', 0.134]], 'confidence': 0.787, 'transcript': 'read this description of family here '}]",read,read,0.477,this,0.9857,description,0.9567,of,0.994,family,0.9171,here,0.4755
FinneginsWake_chunk_129_1499080254532628_count_1_noise_-1_noise_type_White,4,family leave it for a balance and,-1,"{'start_time': 1.95, 'length': 6, 'confidence': 0.9707, 'end_time': 2.2, 'word': 'family'}; {'start_time': 2.2, 'length': 5, 'confidence': 0.4962, 'end_time': 2.42, 'word': 'leave'}; {'start_time': 2.42, 'length': 2, 'confidence': 0.6397, 'end_time': 2.55, 'word': 'it'}; {'start_time': 2.57, 'length': 3, 'confidence': 0.7781, 'end_time': 2.74, 'word': 'for'}; {'start_time': 2.74, 'length': 1, 'confidence': 0.854, 'end_time': 2.81, 'word': 'a'}; {'start_time': 2.81, 'length': 7, 'confidence': 0.9804, 'end_time': 3.2, 'word': 'balance'}; {'start_time': 3.2, 'length': 3, 'confidence': 0.9995, 'end_time': 3.31, 'word': 'and'}",podcast_lecture,White,"[{'timestamps': [['panel', 0.19, 0.54], ['live', 0.54, 0.69], ['here', 0.69, 0.82], ['for', 0.82, 1.04], ['a', 1.04, 1.11], ['balance', 1.11, 1.6]], 'word_confidence': [['panel', 0.176], ['live', 0.432], ['here', 0.318], ['for', 0.856], ['a', 0.792], ['balance', 0.409]], 'confidence': 0.434, 'transcript': 'panel live here for a balance '}]",family,panel,0.4031,live,0.4632,here,0.4071,for,0.6849,a,0.6779,balance,0.6278
TheVoynichManuscript_chunk_94_1499080254532628_count_0_noise_-1_noise_type_White,4,tax dollars over what is that can,-1,"{'start_time': 7.88, 'length': 3, 'confidence': 0.8776, 'end_time': 8.4, 'word': 'tax'}; {'start_time': 8.55, 'length': 7, 'confidence': 0.846, 'end_time': 9.42, 'word': 'dollars'}; {'start_time': 9.61, 'length': 4, 'confidence': 0.4192, 'end_time': 10.04, 'word': 'over'}; {'start_time': 10.72, 'length': 4, 'confidence': 0.9363, 'end_time': 10.93, 'word': 'what'}; {'start_time': 10.93, 'length': 2, 'confidence': 0.5595, 'end_time': 11.0, 'word': 'is'}; {'start_time': 11.0, 'length': 4, 'confidence': 0.8268, 'end_time': 11.18, 'word': 'that'}; {'start_time': 11.18, 'length': 3, 'confidence': 0.7465, 'end_time': 11.39, 'word': 'can'}",podcast_lecture,White,"[{'timestamps': [['tax', 0.28, 0.81], ['dollars', 0.92, 1.79], ['over', 1.98, 2.38]], 'word_confidence': [['tax', 0.209], ['dollars', 0.048], ['over', 0.357]], 'confidence': 0.164, 'transcript': 'tax dollars over '}]",dollars,okay,0.6428,dealers,0.6198,over,0.4793
TerenceMckenna-TrueHallucinations01-16_chunk_62_1499080254532628_count_0_noise_16_noise_type_White,4,our boat was leaving to carry down,16,"{'start_time': 3.34, 'length': 3, 'confidence': 0.8797, 'end_time': 3.49, 'word': 'our'}; {'start_time': 3.49, 'length': 4, 'confidence': 0.6007, 'end_time': 3.84, 'word': 'boat'}; {'start_time': 3.84, 'length': 3, 'confidence': 0.9444, 'end_time': 4.01, 'word': 'was'}; {'start_time': 4.01, 'length': 7, 'confidence': 0.894, 'end_time': 4.45, 'word': 'leaving'}; {'start_time': 4.45, 'length': 2, 'confidence': 0.5575, 'end_time': 4.56, 'word': 'to'}; {'start_time': 4.56, 'length': 5, 'confidence': 0.4592, 'end_time': 5.06, 'word': 'carry'}; {'start_time': 5.25, 'length': 4, 'confidence': 0.6347, 'end_time': 5.56, 'word': 'down'}",podcast_lecture,White,"[{'timestamps': [['Arafat', 0.24, 0.73], ['was', 0.73, 0.9], ['sleeping', 0.9, 1.36], ['precarious', 1.36, 2.17], ['down', 2.17, 2.45]], 'word_confidence': [['Arafat', 0.304], ['was', 0.465], ['sleeping', 0.546], ['precarious', 0.985], ['down', 0.731]], 'confidence': 0.671, 'transcript': 'Arafat was sleeping precarious down '}]",leaving,Arafat,0.896,was,0.8374,sleeping,0.4938,precarious,0.8875,down,0.9524
TerenceMckenna-TrueHallucinations01-16_chunk_62_1499080254532628_count_1_noise_-1_noise_type_White,4,to carry down the river we stopped,-1,"{'start_time': 4.45, 'length': 2, 'confidence': 0.5575, 'end_time': 4.56, 'word': 'to'}; {'start_time': 4.56, 'length': 5, 'confidence': 0.4592, 'end_time': 5.06, 'word': 'carry'}; {'start_time': 5.25, 'length': 4, 'confidence': 0.6347, 'end_time': 5.56, 'word': 'down'}; {'start_time': 5.56, 'length': 3, 'confidence': 0.7159, 'end_time': 5.62, 'word': 'the'}; {'start_time': 5.62, 'length': 5, 'confidence': 0.8327, 'end_time': 5.99, 'word': 'river'}; {'start_time': 6.27, 'length': 2, 'confidence': 0.9391, 'end_time': 6.42, 'word': 'we'}; {'start_time': 6.42, 'length': 7, 'confidence': 0.8729, 'end_time': 6.93, 'word': 'stopped'}",podcast_lecture,White,"[{'timestamps': [['Harry', 0.51, 0.84], ['S.', 0.84, 1.06], ['downriver', 1.06, 1.8], ['we', 2.07, 2.22], ['stop', 2.22, 2.69]], 'word_confidence': [['Harry', 0.161], ['S.', 0.418], ['downriver', 0.396], ['we', 0.659], ['stop', 0.243]], 'confidence': 0.341, 'transcript': 'Harry S. downriver we stop '}]",river,Harry,0.364,S.,0.6095,downriver,0.5281,we,0.6721
TerenceMckenna-TrueHallucinations07-16_chunk_29_1499080254532628_count_0_noise_20_noise_type_White,4,of the Connecticut here this little because,20,"{'start_time': 9.78, 'length': 2, 'confidence': 0.883, 'end_time': 9.88, 'word': 'of'}; {'start_time': 9.88, 'length': 3, 'confidence': 0.9902, 'end_time': 10.04, 'word': 'the'}; {'start_time': 10.04, 'length': 11, 'confidence': 0.7206, 'end_time': 10.6, 'word': 'Connecticut'}; {'start_time': 10.78, 'length': 4, 'confidence': 0.4159, 'end_time': 11.22, 'word': 'here'}; {'start_time': 11.95, 'length': 4, 'confidence': 0.9867, 'end_time': 12.29, 'word': 'this'}; {'start_time': 12.29, 'length': 6, 'confidence': 0.5532, 'end_time': 12.49, 'word': 'little'}; {'start_time': 12.49, 'length': 7, 'confidence': 0.8537, 'end_time': 12.9, 'word': 'because'}",podcast_lecture,White,"[{'timestamps': [['the', 0.44, 0.51], ['Connecticut', 0.51, 1.19], ['here', 1.19, 1.69]], 'word_confidence': [['the', 1.0], ['Connecticut', 0.953], ['here', 0.764]], 'confidence': 0.88, 'transcript': 'the Connecticut here '}, {'timestamps': [['this', 2.39, 2.77], ['little', 2.77, 2.96], ['because', 2.96, 3.3]], 'word_confidence': [['this', 0.364], ['little', 0.515], ['because', 0.844]], 'confidence': 0.575, 'transcript': 'this little because '}]",because,the,0.944,Connecticut,0.7219,here,0.7086,this,0.7662,little,0.5455,because,0.4834
TerenceMckenna-TrueHallucinations07-16_chunk_29_1499080254532628_count_1_noise_0_noise_type_White,4,this little because these compounds to drop,0,"{'start_time': 11.95, 'length': 4, 'confidence': 0.9867, 'end_time': 12.29, 'word': 'this'}; {'start_time': 12.29, 'length': 6, 'confidence': 0.5532, 'end_time': 12.49, 'word': 'little'}; {'start_time': 12.49, 'length': 7, 'confidence': 0.8537, 'end_time': 12.9, 'word': 'because'}; {'start_time': 12.9, 'length': 5, 'confidence': 0.9633, 'end_time': 13.17, 'word': 'these'}; {'start_time': 13.17, 'length': 9, 'confidence': 0.2708, 'end_time': 13.58, 'word': 'compounds'}; {'start_time': 13.99, 'length': 2, 'confidence': 0.8365, 'end_time': 14.24, 'word': 'to'}; {'start_time': 14.24, 'length': 4, 'confidence': 0.8395, 'end_time': 14.68, 'word': 'drop'}",podcast_lecture,White,"[{'timestamps': [['this', 0.29, 0.6], ['level', 0.6, 0.79], ['because', 0.79, 1.21], ['these', 1.21, 1.47], ['compounds', 1.47, 2.28], ['to', 2.28, 2.54], ['drop', 2.54, 2.95]], 'word_confidence': [['this', 0.956], ['level', 0.131], ['because', 0.998], ['these', 0.915], ['compounds', 0.121], ['to', 0.858], ['drop', 0.56]], 'confidence': 0.575, 'transcript': 'this level because these compounds to drop '}]",because,this,0.9868,will,0.3867,because,0.4749,these,0.9168,parents,0.5124,to,0.8903,drop,0.6361
